SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,IMG_URL,DESCRIPTION
Struthio camelus,Common Ostrich,ostric2,Struthioniformes,Ostriches,Struthionidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/204565301/1800,"Massive, conspicuous, flightless bird with long neck and robust legs. Mature males have black-and-white plumage, with pinkish skin, flushed in breeding plumage. Females and immatures are duller gray-brown. Small groups roam open and lightly-wooded country; can walk up to several kilometers a day. The stubby wings are used for spectacular breeding displays and dust-bathing. Deep booming calls can be heard from long distances. Similar Somali Ostrich (no range overlap) has slaty-colored skin and pale eyes, unlike the pink-skinned Common Ostrich."
Struthio molybdophanes,Somali Ostrich,ostric3,Struthioniformes,Ostriches,Struthionidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/102336971/1800,"A long-legged and long-necked flightless bird. Males have a blue-gray neck and legs, but the bill and front of the legs become pink when breeding. Females have dull pinkish-colored legs and neck. Found in a variety of dry habitats, including grassland, thornscrub, and semi-desert. Often in small groups. Very similar to Common Ostrich, but males separated by their blue legs and neck and the lack of a white ring at the base of the neck. Females are separated by their pale eyes. The voice is a deep, lion-like booming."
Casuarius casuarius,Southern Cassowary,soucas1,Casuariiformes,Cassowaries and Emu,Casuariidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/30350631/1800,"Enormous flightless bird with dark glossy plumage and large, horn-like plate on colorful head with two red neck wattles. Unlikely to be confused with other species. Hatchlings are brown and strongly striped. Juvenile and Immature birds are similar to adults but browner and with an absent or developing head-plate. Found in dense tropical rainforest, where it can be seen crossing roads, or along roadsides."
Casuarius unappendiculatus,Northern Cassowary,norcas1,Casuariiformes,Cassowaries and Emu,Casuariidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/90807631/1800,"An enormous flightless bird of lowland rainforest. Shaggy black plumage, blue head and bright red or yellow around the base of the neck. Large casque flattened at the back and a single wattle from the throat. A very shy and little-known species which, like other cassowaries, forages on the forest floor, mainly for fallen fruit. Similar to Southern Cassowary but Northern has single rather than double wattle, different-shaped casque and usually red or yellow all the way around the base of the throat."
Dromaius novaehollandiae,Emu,emu1,Casuariiformes,Cassowaries and Emu,Casuariidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/246291161/1800,"Endemic to Australia, this enormous flightless bird has drooping gray shaggy plumage. Only confusion possible with introduced Common Ostrich, but note Emu’s dark head and a shaggy-feathered neck. Hatchlings have distinctive stripes throughout. Juvenile and immature birds are darker than adults with more feathered necks. Prefers open country, where it roams around in loose flocks ranging from a few birds up to hundreds."
Apteryx australis,Southern Brown Kiwi,sobkiw1,Apterygiformes,Kiwis,Apterygidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/97940271/1800,"The largest of New Zealand’s kiwis. A reddish to dark brown kiwi with brown to black streaking. Inhabits native forest, tussock grassland, and neighboring farmland. Mostly nocturnal, with some day foraging observed on Stewart Island and certain locations in Fiordland. Restricted to the mountains near Haast, Fiordland, Stewart Island, and sanctuaries. Foraging produces clear audible sniffling. Males give a series of clear rising whistles while females give a harsh throaty wail. Both sexes repeat their call many times. Could be confused with Weka by voice and shape; look for the kiwi’s much longer bill and lack of tail, and listen for its multisyllabic call."
Apteryx rowi,Okarito Brown Kiwi,okbkiw1,Apterygiformes,Kiwis,Apterygidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/328260581/1800,"A large, dark grayish brown kiwi with brownish streaking, often showing white patches on face. Restricted to native forest near Okarito in New Zealand, with small populations on predator-free Mana, Blumine, and Motuara islands. Often heard at night foraging as it sniffs loudly, tapping the ground for invertebrates. Male call is a series of clear rising whistles. Female call is a harsh throaty wail. Both sexes repeat their call many times, and sometimes call simultaneously. Could be confused with Weka by voice and shape; look for the kiwi’s much longer bill and lack of tail, and listen for its multisyllabic call."
Apteryx mantelli,North Island Brown Kiwi,nibkiw1,Apterygiformes,Kiwis,Apterygidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/178885211/1800,"A large, dark grayish brown kiwi with reddish brown streaking. The only kiwi found in the wild on the mainland of New Zealand’s North Island. Found in both native and exotic forest, scrub, and neighboring farmland. More often heard than seen. Male call is a series of clear rising whistles. Female call is a harsh throaty wail. Both sexes repeat their call many times. Often heard at night foraging as it sniffs loudly, tapping the ground for invertebrates. Could be confused with Weka by voice and shape; look for the kiwi’s much longer bill and lack of tail, and listen for its multisyllabic call."
Apteryx owenii,Little Spotted Kiwi,liskiw1,Apterygiformes,Kiwis,Apterygidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/24972811/1800,"New Zealand’s smallest kiwi species. Light grayish brown with white horizontal banding or “spotting” along the length of the body. Restricted to offshore predator-free island sanctuaries and to the mainland Zealandia sanctuary in Wellington. More often heard than seen, including loud sniffling as it forages for invertebrates. Male produces a series of burry, rising high-pitched whistles. Female has a lower ascending burry whistle. Both sexes repeat their call many times, often duetting. Could be confused with Weka by voice and shape; look for the kiwi’s much longer bill and lack of tail, and listen for its multisyllabic call."
Apteryx maxima,Great Spotted Kiwi,grskiw1,Apterygiformes,Kiwis,Apterygidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/219724521/1800,"Large, light grayish brown kiwi with white horizontal banding or mottling along the length of the body. Restricted to the native forests, scrubland, and upland tussock grasslands of the northwestern South Island of New Zealand. More often heard than seen, including loud sniffling as it forages at night for invertebrates. Male produces a series of burry, rising high-pitched whistles. Female has a lower ascending burry whistle. Pairs often duet. Could be confused with Weka by voice and shape; look for the kiwi’s much longer bill and lack of tail, and listen for its multisyllabic call."
